Date(UTC),Type,Amount,Asset
2020-05-19 13:59:01,TRANSFER,-2411.52,USDT
2020-05-19 13:49:01,COMMISSION,-0.36238391,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.52225004,USDT
2020-05-19 13:49:01,COMMISSION,-0.07710295,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.11111703,USDT
2020-05-19 13:49:01,COMMISSION,-0.02312997,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.03561510,USDT
2020-05-19 13:49:01,COMMISSION,-0.00771025,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.01121170,USDT
2020-05-19 13:49:01,COMMISSION,-0.04240460,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.06617436,USDT
2020-05-19 13:49:01,COMMISSION,-0.00771025,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.01121170,USDT
2020-05-19 13:49:01,COMMISSION,-0.13877856,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.21693065,USDT
2020-05-19 13:49:01,COMMISSION,-0.96378000,USDT
2020-05-19 13:49:01,REALIZED_PNL,1.40646288,USDT
2020-05-19 13:49:01,COMMISSION,-1.92745800,USDT
2020-05-19 13:49:01,REALIZED_PNL,3.06792576,USDT
2020-05-19 13:49:01,COMMISSION,-0.77102160,USDT
2020-05-19 13:49:01,REALIZED_PNL,1.13117030,USDT
2020-05-19 13:49:01,COMMISSION,-0.57823139,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.93537772,USDT
2020-05-19 13:49:01,COMMISSION,-0.38550880,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.57058515,USDT
2020-05-19 13:49:01,COMMISSION,-1.92753200,USDT
2020-05-19 13:49:01,REALIZED_PNL,2.88292576,USDT
2020-05-19 13:49:01,COMMISSION,-0.00385485,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.00629585,USDT
2020-05-19 13:49:01,COMMISSION,-3.85502000,USDT
2020-05-19 13:49:01,REALIZED_PNL,5.87585152,USDT
2020-05-19 13:49:01,COMMISSION,-0.31224268,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.51077397,USDT
2020-05-19 13:49:01,COMMISSION,-1.94292806,USDT
2020-05-19 13:49:01,REALIZED_PNL,2.96646917,USDT
2020-05-19 13:49:01,COMMISSION,-3.85480000,USDT
2020-05-19 13:49:01,REALIZED_PNL,6.42585152,USDT
2020-05-19 13:49:01,COMMISSION,-0.19275000,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.29629257,USDT
2020-05-19 13:49:01,COMMISSION,-0.28140040,USDT
2020-05-19 13:49:01,REALIZED_PNL,0.46908716,USDT
2020-05-19 13:44:44,COMMISSION,-11.95781600,USDT
2020-05-19 13:44:44,COMMISSION,-0.19286959,USDT
2020-05-19 13:44:44,COMMISSION,-5.01460960,USDT
2020-05-19 13:44:44,COMMISSION,-0.50146096,USDT
2020-05-19 13:43:10,COMMISSION,-2.02948052,USDT
2020-05-19 13:43:10,REALIZED_PNL,5.29465972,USDT
2020-05-19 13:43:10,COMMISSION,-0.38583119,USDT
2020-05-19 13:43:10,REALIZED_PNL,1.01058930,USDT
2020-05-19 13:43:10,COMMISSION,-0.03858307,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.10115893,USDT
2020-05-19 13:43:10,COMMISSION,-0.07716608,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.20251786,USDT
2020-05-19 13:43:10,COMMISSION,-0.25464674,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.67160893,USDT
2020-05-19 13:43:10,COMMISSION,-1.30794336,USDT
2020-05-19 13:43:10,REALIZED_PNL,3.48691773,USDT
2020-05-19 13:43:10,COMMISSION,-0.65590012,USDT
2020-05-19 13:43:10,REALIZED_PNL,1.75030181,USDT
2020-05-19 13:43:10,COMMISSION,-0.00771638,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.02081178,USDT
2020-05-19 13:43:10,COMMISSION,-0.03086454,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.08572714,USDT
2020-05-19 13:43:10,COMMISSION,-0.20061849,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.55982643,USDT
2020-05-19 13:43:10,COMMISSION,-0.12345740,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.34482857,USDT
2020-05-19 13:43:10,COMMISSION,-2.70060000,USDT
2020-05-19 13:43:10,REALIZED_PNL,7.62012510,USDT
2020-05-19 13:43:10,COMMISSION,-1.92899999,USDT
2020-05-19 13:43:10,REALIZED_PNL,5.44294650,USDT
2020-05-19 13:43:10,COMMISSION,-0.67515000,USDT
2020-05-19 13:43:10,REALIZED_PNL,1.90503127,USDT
2020-05-19 13:43:10,COMMISSION,-0.38579999,USDT
2020-05-19 13:43:10,REALIZED_PNL,1.08858930,USDT
2020-05-19 13:43:10,COMMISSION,-0.03858000,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.10885893,USDT
2020-05-19 13:43:10,COMMISSION,-1.67823000,USDT
2020-05-19 13:43:10,REALIZED_PNL,4.73536346,USDT
2020-05-19 13:43:10,COMMISSION,-0.00385799,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.01088589,USDT
2020-05-19 13:43:10,COMMISSION,-1.92899800,USDT
2020-05-19 13:43:10,REALIZED_PNL,5.44794650,USDT
2020-05-19 13:43:10,COMMISSION,-0.38579760,USDT
2020-05-19 13:43:10,REALIZED_PNL,1.09458930,USDT
2020-05-19 13:43:10,COMMISSION,-0.20061350,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.57230643,USDT
2020-05-19 13:43:10,COMMISSION,-0.10030373,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.29369321,USDT
2020-05-19 13:43:10,COMMISSION,-1.29236567,USDT
2020-05-19 13:43:10,REALIZED_PNL,3.80757415,USDT
2020-05-19 13:43:10,COMMISSION,-0.00385759,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.01188589,USDT
2020-05-19 13:43:10,COMMISSION,-0.00385759,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.01188589,USDT
2020-05-19 13:43:10,COMMISSION,-0.28931820,USDT
2020-05-19 13:43:10,REALIZED_PNL,0.89594197,USDT
2020-05-19 13:43:10,COMMISSION,-0.94123000,USDT
2020-05-19 13:43:10,REALIZED_PNL,2.96115789,USDT
2020-05-19 13:40:11,COMMISSION,-6.42297829,USDT
2020-05-19 13:40:11,COMMISSION,-0.38236611,USDT
2020-05-19 13:40:11,COMMISSION,-0.01158694,USDT
2020-05-19 13:40:11,COMMISSION,-0.07724631,USDT
2020-05-19 13:40:11,COMMISSION,-1.31321327,USDT
2020-05-19 13:40:11,COMMISSION,-0.01931200,USDT
2020-05-19 13:40:11,COMMISSION,-0.02317439,USDT
2020-05-19 13:40:11,COMMISSION,-0.00386240,USDT
2020-05-19 13:40:11,COMMISSION,-0.38624000,USDT
2020-05-19 13:40:11,COMMISSION,-0.01158719,USDT
2020-05-19 13:40:11,COMMISSION,-0.38624000,USDT
2020-05-19 13:40:11,COMMISSION,-7.72480000,USDT
2020-05-19 13:40:11,COMMISSION,-0.92697599,USDT
2020-05-19 13:38:03,COMMISSION,-1.60721199,USDT
2020-05-19 13:38:03,REALIZED_PNL,-23.94757500,USDT
2020-05-19 13:38:03,COMMISSION,-3.87280000,USDT
2020-05-19 13:38:03,REALIZED_PNL,-57.70500000,USDT
2020-05-19 13:38:03,COMMISSION,-1.16184000,USDT
2020-05-19 13:38:03,REALIZED_PNL,-17.31150000,USDT
2020-05-19 13:38:03,COMMISSION,-0.77455600,USDT
2020-05-19 13:38:03,REALIZED_PNL,-11.53100000,USDT
2020-05-19 13:38:03,COMMISSION,-0.32918596,USDT
2020-05-19 13:38:03,REALIZED_PNL,-4.89982500,USDT
2020-05-19 13:14:44,COMMISSION,-0.13871520,USDT
2020-05-19 13:14:33,COMMISSION,-0.19266000,USDT
2020-05-19 13:14:33,COMMISSION,-1.59522479,USDT
2020-05-19 13:00:38,COMMISSION,-0.42308596,USDT
2020-05-19 13:00:38,COMMISSION,-2.92313936,USDT
2020-05-19 13:00:38,COMMISSION,-0.50001068,USDT
2020-05-19 12:49:42,TRANSFER,2534.06,USDT
